Sat_Num	Year	Month	Day	Hour	Minute	Second	SV_Clock_Bias	SV_Relative_Frequency_Bias	Message_Transmission_Time	Sat_X_Pos	Sat_X_Velocity	Sat_X_Acc	Sat_Health	Sat_Y_Pos	Sat_Y_Velocity	Sat_Y_Acc	URA	Sat_Z_Pos	Sat_Z_Velocity	Sat_Z_Acc	IODN
S36	2021	8	13	11	19	12	0.000000000000e+00	0.000000000000e+00	4.727520000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.540000000000e+02
S23	2021	8	13	11	20	32	0.000000000000e+00	0.000000000000e+00	4.728320000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.600000000000e+01
S36	2021	8	13	11	21	20	0.000000000000e+00	0.000000000000e+00	4.728800000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.550000000000e+02
S23	2021	8	13	11	22	40	0.000000000000e+00	0.000000000000e+00	4.729600000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.700000000000e+01
S36	2021	8	13	11	23	28	0.000000000000e+00	0.000000000000e+00	4.730080000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
S23	2021	8	13	11	24	48	0.000000000000e+00	0.000000000000e+00	4.730880000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.800000000000e+01
S36	2021	8	13	11	25	36	0.000000000000e+00	0.000000000000e+00	4.731360000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00
S23	2021	8	13	11	26	56	0.000000000000e+00	0.000000000000e+00	4.732160000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.900000000000e+01
S36	2021	8	13	11	27	44	0.000000000000e+00	0.000000000000e+00	4.732640000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.000000000000e+00
S23	2021	8	13	11	29	4	0.000000000000e+00	0.000000000000e+00	4.733440000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.000000000000e+01
